,0
221,-1.916137599999999
222,-3.359836999999999
223,-2.1751229999999993
224,3.1220289
225,0.9934409999999998
226,0.6221986000000008
227,4.080901
228,-0.1914707
229,5.558249
230,4.389692999999999
231,-1.1968464
232,-1.5509370000000011
233,0.37152200000000235
234,4.088385
235,-1.1353535
236,-8.962767999999999
237,-0.9207520000000002
238,-1.5536280000000007
239,5.0115003
240,-2.7547892999999997
241,10.14634
242,-1.2983889999999985
243,3.1576389999999996
244,-4.1268302
245,2.642225
246,3.927525
247,-4.582346999999999
248,-3.3522867999999995
249,1.4184329999999998
250,2.0302825999999996
251,7.0545655
252,10.4601215
253,3.429345999999999
254,0.8734230000000007
255,-3.1255854000000003
256,-2.112373
257,7.301027
258,2.1775705
259,2.13709
260,0.6156890000000002
261,-0.2081067000000001
262,-2.6777119999999996
263,2.710998
264,-0.22073640000000028
265,2.137822
266,0.7653620000000005
267,-1.9940549999999995
268,-0.10653239999999986
269,1.2363750000000002
270,-3.6339900000000007
271,2.9197904
272,-1.522183
273,1.8992509999999996
274,-2.5683050000000005
275,4.462762
276,-0.39004300000000036
277,3.8030089999999994
278,-0.46126100000000037
279,-19.924350875000002
280,-6.730450000000005
281,-20.392984999999996
282,2.2919079999999994
283,-5.383790000000001
284,-8.848159999999986
285,-1.6367529999999988
286,5.958655199999999
287,14.2922762
288,-3.5267999999999997
289,4.470963000000001
290,2.78454
291,15.234772
292,-6.614719999999998
293,-10.964225999999996
294,8.389972999999998
295,4.0476699999999965
296,7.439050000000002
297,15.4951
298,4.635543999999999
299,-7.165640000000003
300,-12.514039999999994
301,-7.514039999999994
302,-2.4649501111111114
303,-8.506038
304,10.736874
305,-7.136457
306,5.581802000000003
307,13.248351999999997
308,-19.399992777777776
309,-11.195921777777777
310,-7.860602777777778
311,-16.187037777777782
312,-5.041571777777776
313,-6.452483777777779
314,-18.80777277777777
315,-13.335394777777772
316,-13.285639777777781
317,11.71479551111111
318,10.23742472222222
319,-9.926180555555561
320,7.218613222222221
321,-5.0566893
322,-6.7746506
323,-5.3619337
324,-2.7421110000000004
325,8.400542999999999
326,-5.296281
327,5.8707795
328,-1.8224783000000002
329,-0.8728439999999997
330,-3.3308562999999998
331,7.958534
332,2.209147999999999
333,8.142826
334,12.812843
335,4.100110000000001
336,-3.9707700000000017
337,-20.377219111111113
338,-12.530681444444443
339,-16.822025222222216
340,-14.91588022222222
341,-9.067562222222229
342,0.34283673333333287
343,2.565058955555555
344,7.270695777777778
345,3.6025442222222193
346,0.9179791111111104
347,6.272400000000001
348,-7.404286222222222
349,-1.7875167777777783
350,2.5365777777777794
351,7.276709
352,-1.149019555555558
353,-8.969022000000002
354,1.7206978000000002
355,-0.4972814999999997
356,-2.5809584999999995
357,4.153684500000001
358,6.649598000000001
359,-6.2524049999999995
360,2.2228770000000004
361,3.583548999999998
362,-4.094525399999998
363,-3.8089717000000007
364,1.2517055
365,5.096983999999999
366,0.025203999999998672
367,1.2463119999999996
368,-0.4979402000000004
369,-3.2705193999999995
370,1.2722116000000003
371,0.3047720000000016
372,0.21961030000000026
373,4.016047
374,-4.932418999999999
375,-7.156299999999998
376,1.7701660000000006
377,-0.1261990000000015
378,10.1735697
379,2.5159149999999997
380,-2.1296989999999996
381,4.6654849999999985
382,3.35337
383,-0.027318999999999427
384,-6.0348633000000005
385,-5.882778999999999
386,-0.529166
387,0.8272639999999996
388,5.163794999999993
389,-2.306335299999999
390,-0.16625699999999988
391,-0.8945749999999997
392,-5.175821999999997
393,-2.2821154000000003
394,-3.6174480000000013
395,2.8119619999999994
396,-9.935176
397,7.190614
398,-0.3329129999999907
399,-4.8704779999999985
400,-10.217170000000001
401,-3.827008000000003
402,3.2577169999999995
403,-5.215001000000001
404,3.9264263
405,3.0437220000000007
406,5.474865000000001
407,-5.546654999999994
408,19.15831
409,5.029529999999999
410,-1.6257000000000001
411,-9.320276
412,-8.77008
413,2.8704807
414,5.482583000000001
415,-3.0083550000000017
416,2.504658000000001
417,-8.169695000000004
418,-16.138939999999998
419,7.616810000000001
420,1.830406
421,0.1744020000000006
422,-1.327149999999996
423,-8.665933000000003
424,3.72452334
425,3.5529787
426,1.9036489999999997
427,-3.874290000000002
428,16.065402000000002
429,-0.3195028
430,2.980526
431,2.291423
432,-2.277190000000001
433,1.2293904999999998
434,1.5812801999999984
435,-3.5022649999999995
436,8.298117000000001
437,26.916845999999996
438,-40.20327
439,8.437956
440,1.925072000000001
441,4.329911000000001
442,3.343562000000002
443,-1.685518
444,-4.279285000000002
445,9.431350000000009
446,-0.11802999999999031
447,0.9483040000000003
448,0.5070250000000005
449,5.080660000000002
450,3.6605230000000004
451,2.0848913
452,-2.6790760000000002
453,0.012067299999998227
454,2.0035499999999997
455,-0.47624699999999986
456,-2.984997
457,-3.5253560000000004
458,9.260793
459,1.9202769
460,1.8629460000000002
461,1.3818034000000003
462,-5.785705
463,-5.190095000000001
464,-1.1565389999999987
465,-3.254235999999999
466,1.3734709999999999
467,2.3804901000000003
468,0.4298781999999983
469,1.8859152999999989
470,-3.104564999999999
471,2.1235049999999998
472,5.193732999999998
473,-7.274611999999999
474,-7.154699999999998
475,-4.014691000000001
476,-1.7092899999999993
477,5.522789
478,-6.751738999999999
479,-1.7559699999999996
480,0.1790540000000007
481,3.8614292999999997
482,3.9342286
483,0.80335994
484,2.81037565
485,2.8099757
486,0.17701970000000067
487,11.7668
488,2.5086318
489,3.1731233000000003
490,-5.195878100000001
491,1.8317140000000016
492,-1.6712364999999998
493,3.359255
494,2.2124692
495,2.6853274999999996
496,7.83082
497,3.5395269999999996
498,-2.821353
499,4.863359
500,-1.2009834999999995
501,3.022342
502,-2.3146639999999996
503,-3.1815300000000093
504,-15.98302750000002
505,-1.6357018749999952
506,2.2852859999999993
507,1.996806999999997
508,-9.087720000000004
509,-48.245143999999996
510,-16.488890777777776
511,-5.916479777777774
512,6.970555222222224
513,-22.806143777777763
514,5.356398777777779
515,2.115632111111111
516,7.690139111111112
