y true,average predicted values,error bar values
9.088888888888889,15.54333315,1.1681682536572182
10.70555555555556,19.4260971,1.6112042392950388
12.68888888888889,23.5272029,2.099362940189611
7.522222222222221,27.3138552,1.698764786133941
15.24444444444445,28.64798945,2.0056117819423704
14.67777777777778,13.266979800000001,0.8070664898571732
10.0,17.0183702,0.9130267045674078
43.88888888888889,28.828990249999997,1.3800163952465005
72.83333333333334,64.9184392,2.6508076706700567
75.77777777777777,62.97725725,3.1984430778923127
13.88888888888889,4.396867045,1.7728767390128621
-17.22222222222222,3.183550706,1.6863004273536115
23.66666666666667,9.940537625000001,1.135799712175139
25.73888888888889,10.092794675,0.9982802680977539
2.888888888888889,14.684468599999999,1.4734786066309882
22.27777777777778,22.34463075,1.5202662179166924
28.111111111111107,26.17745235,1.2729323982317893
42.61111111111111,34.69167915,1.6796298313012548
75.77777777777777,85.154484,2.6294063425730276
102.7777777777778,79.93181009999999,2.9216788757357848
10.0,7.668464869999999,0.7083006585470644
2.0,15.292885175,0.897076673170654
14.87777777777778,15.65242925,1.148591681522013
15.094444444444452,23.5130279,1.766295561992294
20.28333333333333,25.990664199999998,2.0928897947035265
23.44444444444444,27.4423698,2.172276864711155
22.22222222222222,32.38734915,1.3478691664268612
36.11111111111111,32.88133775,1.4769617306522373
45.77777777777778,46.3214433,2.8899256076965227
45.77777777777778,28.292143,2.2721632914405845
4.388888888888889,12.654725449999999,0.8301153501199143
14.666666666666668,28.910311,1.0484622084937438
3.111111111111107,9.22389875,0.9177145554815208
21.05555555555556,12.4054668,0.8037042297683008
13.333333333333332,15.598211275,0.7980148714334753
-8.777777777777779,9.110299775,0.7982345316614675
20.61111111111111,15.39654405,0.878268675757819
16.0,18.9066325,1.55193106057757
30.111111111111107,24.04253095,1.4790460630191227
19.44444444444444,18.113481200000003,1.7150550648928418
25.666666666666664,23.04905105,1.1221313607882417
27.611111111111107,25.5086761,1.0340612268165548
0.0,12.4455587,1.5352121421709326
11.78,7.5036102499999995,0.937161427375316
-3.78,7.71061266,0.8881027287867377
-8.88888888888889,4.85202445,1.4910418606724
8.627777777777776,22.22920015,2.2207857816221455
31.0,48.3302465,2.9449710629270585
38.0,34.0447506,2.5036991803395825
4.0,7.826650495,0.7283574606133735
2.0,5.784108035,0.5190766775967682
17.0,5.739374025,0.5069814254396384
19.0,5.75985941,0.4430623042369822
3.0,8.59252922,0.7348484353815298
23.0,7.75712772,0.6736941204344042
-8.0,7.757047985,0.501857002816653
-6.0,9.67628075,0.6032045814721024
3.0,6.78587871,0.46915504517268514
12.0,7.075094955,0.4836089673319816
3.0,8.583618509999999,0.5789012402204685
