temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
280.0,0.14,0.49,1.4,0.009,0.25,0.24,18.91960102378411,10.87921517290216,P,47.77777777777778,141,Plotter,CK1,P1,CK1-P1,USA Surveillance,USA,8.31e+18,75720796375.02405,,low,,472,YES,NO,PWR,46.356697506036014
280.0,0.17,0.64,1.478,0.011,0.225,0.217,18.91960102378411,10.87921517290216,SRM,55.55555555555556,149,Plotter,CK1,SRM2,CK1-SRM2,USA Surveillance,USA,8.31e+18,75720796375.02405,,low,,,NO,NO,PWR,50.858565377905556
280.0,0.17,0.64,1.478,0.011,0.225,0.217,19.07918124604763,10.88576944017869,SRM,60.0,150,Plotter,CK1,SRM2,CK1-SRM2,USA Surveillance,USA,1.2e+19,76872222990.94446,,low,,,NO,NO,PWR,58.519677804837606
283.3333333333333,0.11,0.58,1.285,0.017,0.215,0.215,19.19865708695442,10.76233258800171,P,53.33333333333334,158,Plotter,CK2,P1,CK2-P1,USA Surveillance,USA,1.58e+19,57853892995.78297,,low,,,NO,NO,PWR,50.572671539557355
282.7777777777778,0.11,0.58,1.285,0.017,0.215,0.215,18.37657695705651,10.84434659463419,P,43.33333333333334,159,Plotter,CK2,P1,CK2-P1,USA Surveillance,USA,2.38e+18,69878986038.29602,,low,,462,YES,NO,PWR,27.350061244028428
283.3333333333333,0.053,0.965,1.375,0.02,0.4,0.095,19.00860017176192,10.78963426142059,W,37.22222222222222,165,Plotter,CK2,W1,CK2-W1,USA Surveillance,USA,1.02e+19,61607595854.1712,,low,,526,YES,NO,PWR,31.39977401484211
292.7777777777778,0.06,0.55,1.32,0.005,0.22,0.23,18.49554433754645,10.97554843154114,P,-3.277777777777779,167,Plotter,CL1,P1,CL1-P1,USA Surveillance,USA,3.13e+18,94525379913.50777,,low,-19.27777777777778,462,YES,YES,PWR,12.810193789625142
291.6666666666667,0.06,0.55,1.32,0.005,0.22,0.23,19.07188200730613,10.90097754243504,P,13.94444444444444,168,Plotter,CL1,P1,CL1-P1,USA Surveillance,USA,1.18e+19,79611818172.0047,,low,-19.27777777777778,462,YES,YES,PWR,25.714256877407934
262.9186574027526,0.09,0.65,1.27,0.01,0.31,0.169,20.06483221973857,11.39089022110449,F,142.2675888288712,185,Plotter,F43,F2,F43-F2,France Surveillance,FRANCE,1.161e+20,245974576271.1865,,high,,,NO,NO,PWR,127.02501353851132
262.3380568491908,0.09,0.65,1.27,0.01,0.31,0.169,19.9649663748311,11.35175902272734,F,139.5124975710581,192,Plotter,F43,F2,F43-F2,France Surveillance,FRANCE,9.225e+19,224780701754.386,,high,,,NO,NO,PWR,115.45956959054801
262.0,0.07,0.61,1.22,0.015,0.27,0.159,19.2405492482826,10.52121796129887,F,45.11537012841359,198,Plotter,F43,F1a,F43-F1a,Decommissioned Vessels,FRANCE,1.74e+19,33206106870.22901,,low,,,NO,NO,PWR,46.27420416963736
292.7777777777778,0.05,0.59,1.36,0.006,0.23,0.21,19.17318626841227,10.87919507179448,P,14.27777777777778,207,Plotter,CP1,P1,CP1-P1,USA Surveillance,USA,1.49e+19,75717291756.10455,,low,-17.16666666666667,446,YES,YES,PWR,28.120417137416233
292.7777777777778,0.04,0.22,1.33,0.004,0.17,0.19,19.17318626841227,10.87919507179448,W,9.611111111111114,208,Plotter,CP1,W1,CP1-W1,USA Surveillance,USA,1.49e+19,75717291756.10455,,low,-54.5,607,YES,YES,PWR,27.814386491955418
