temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,E900 Preds
290.0,0.15,0.6,1.27,0.011,0.2,0.21,19.24797326636181,11.10809795645075,P,60.0,1488,Plotter,TRO,P1,TRO-P1,USA Surveillance,USA,1.77e+19,128261984886.8251,,low,,,NO,NO,PWR,58.201407556858136
290.0,0.055,0.957,1.39,0.02,0.445,0.185,19.24797326636181,11.10809795645075,W,26.11111111111111,1491,Plotter,TRO,W1,TRO-W1,USA Surveillance,USA,1.77e+19,128261984886.8251,,low,,,NO,NO,PWR,32.67617619118624
290.0,0.055,0.957,1.39,0.02,0.445,0.185,19.36921585741014,10.96609396297331,W,23.33333333333333,1492,Plotter,TRO,W1,TRO-W1,USA Surveillance,USA,2.34e+19,92489826119.12689,,low,,,NO,NO,PWR,37.49184670287587
286.0,0.041,0.605,1.76,0.008,0.342,0.069,19.6405708705608,11.26126535281022,W,33.90555555555555,1499,Plotter,UL1,W1,UL1-W1,S. Korea Surveillance,S-KOREA,4.3709e+19,182501043841.3361,,low,,554.4762499999999,YES,NO,PWR,45.2913850462026
286.0,0.041,0.605,1.76,0.008,0.342,0.069,19.67155233728337,11.12872691032418,W,33.53333333333333,1500,Plotter,UL1,W1,UL1-W1,S. Korea Surveillance,S-KOREA,4.6941e+19,134501432664.7565,,low,,554.4762499999999,YES,NO,PWR,47.20980264466762
296.0,0.03,0.18,1.72,0.009,0.29,0.08,18.66968870805621,10.3506806416352,W,15.33888888888889,1511,Plotter,UL3,W1,UL3-W1,S. Korea Surveillance,S-KOREA,4.674e+18,22422324921.65139,,low,,402.1943333333334,YES,NO,PWR,9.917291037677396
296.0,0.03,0.82,1.35,0.006,0.008,0.19,18.63407402548747,10.31770204899232,F,8.149999999999999,1513,Plotter,UL4,F1,UL4-F1,S. Korea Surveillance,S-KOREA,4.306e+18,20782703848.11116,,low,,427.4746666666667,YES,NO,PWR,7.807700231611705
255.0,0.14,0.84,1.4,0.019,0.25,0.19,19.99202302776385,12.72997428569956,SRM,226.2777777777778,1520,Plotter,VIE,SRM4,VIE-SRM4,Viehrig 07,NOT_APPLICABLE,9.818e+19,5370000000000.0,,high,,UN-SPEC,NO,NO,PWR,209.71820204335737
292.7777777777778,0.04,0.102,1.13,0.012,0.153,0.133,18.52374646681156,10.96803500853972,W,13.17777777777778,1531,Plotter,VO1,W1,VO1-W1,USA Surveillance,USA,3.34e+18,92904127391.02957,,low,,,NO,NO,PWR,7.605934270798553
292.7777777777778,0.0505,0.58175,1.25175,0.0076,0.2165,0.221,18.55388302664387,10.97589517366088,P,1.377777777777778,1536,Plotter,VO2,P1,VO2-P1,USA Surveillance,USA,3.58e+18,94600879418.23102,,low,,475.738,YES,NO,PWR,9.930197540127596
291.6666666666667,0.0505,0.58175,1.25175,0.0076,0.2165,0.221,19.6222140229663,10.85670544914684,P,41.83333333333333,1543,Plotter,VO2,P1,VO2-P1,USA Surveillance,USA,4.19e+19,71896119270.5485,,low,,475.738,YES,NO,PWR,35.866345889764794
291.6666666666667,0.0435,0.1271666666666667,1.128333333333333,0.0094,0.4563333333333333,0.08633333333333333,19.04921802267018,10.8531820729751,W,10.54444444444444,1547,Plotter,VO2,W1,VO2-W1,USA Surveillance,USA,1.12e+19,71315194822.92438,,low,,445,YES,NO,PWR,16.033207426410815
290.5555555555555,0.1,0.51,1.3,0.009,0.24,0.22,19.81491318127507,11.1023232750044,P,55.0,1560,Plotter,VS1,P1,VS1-P1,USA Surveillance,USA,6.53e+19,126567812746.9333,,high,,477.807,YES,NO,PWR,65.48199559347283
290.5555555555555,0.04,0.95,1.41,0.009,0.45,0.085,19.40312052117582,11.20188337779492,W,12.77777777777778,1563,Plotter,VS1,W1,VS1-W1,USA Surveillance,USA,2.53e+19,159178122458.1834,,low,,507.454,YES,NO,PWR,29.218747715188442
292.7777777777778,0.16,0.8,0.71,0.013,0.25,0.21,19.23299611039215,10.91267597505201,F,52.61111111111111,1572,Plotter,WB1,F1,WB1-F1,USA Surveillance,USA,1.71e+19,81785436338.21637,,low,,538.825,YES,NO,PWR,63.97786882424203
292.7777777777778,0.041,0.73,1.96,0.013,0.25,0.075,19.38021124171161,10.90966504388846,W,8.0,1576,Plotter,WB1,W1,WB1-W1,USA Surveillance,USA,2.4e+19,81220385017.11313,,low,,502.283,YES,NO,PWR,30.446396994069534
291.1111111111111,0.07,0.62,1.45,0.008,0.2,0.2,19.53655844257153,10.89755815705753,P,30.53333333333333,1581,Plotter,WC1,P1,WC1-P1,USA Surveillance,USA,3.44e+19,78987461567.08919,,low,,407,YES,NO,PWR,41.72363977648581
292.7777777777778,0.07,0.62,1.45,0.008,0.2,0.2,19.07188200730613,10.89273988695619,P,20.0,1583,Plotter,WC1,P1,WC1-P1,USA Surveillance,USA,1.18e+19,78115980252.28021,,low,,413.685,YES,NO,PWR,25.086100257446127
291.6666666666667,0.04,0.09,1.46,0.005,0.48,0.11,19.34830486304816,10.8600484384461,W,24.6,1588,Plotter,WC1,W1,WC1-W1,USA Surveillance,USA,2.23e+19,72451676356.34737,,low,,496.4225,YES,NO,PWR,24.53481340155555
288.9,0.054,0.52,1.45,0.012,0.23,0.23,19.6712561748122,11.09290656047392,P,34.92222222222222,1602,Plotter,YW1,P1,YW1-P1,S. Korea Surveillance,S-KOREA,4.6909e+19,123853008506.7788,,low,,510.212,YES,NO,PWR,44.527693440330154
288.9,0.054,0.52,1.45,0.012,0.23,0.23,19.74744288330284,11.09299664260769,P,50.25,1605,Plotter,YW1,P1,YW1-P1,S. Korea Surveillance,S-KOREA,5.5904e+19,123878700982.5559,,low,,486.0805,YES,NO,PWR,48.90737204450167
288.9,0.051,0.54,1.5,0.015,0.2,0.2,19.1867021225651,11.1979370362049,P,30.02222222222222,1613,Plotter,YW2,P1,YW2-P1,S. Korea Surveillance,S-KOREA,1.5371e+19,157738256499.1733,,low,,458.5015,YES,NO,PWR,24.708765530820394
288.9,0.051,0.54,1.5,0.015,0.2,0.2,19.57558038057351,11.23541430318329,P,28.98888888888889,1616,Plotter,YW2,P1,YW2-P1,S. Korea Surveillance,S-KOREA,3.7634e+19,171954799930.4029,,low,,451.6065,YES,NO,PWR,39.747815432409254
288.9,0.051,0.54,1.5,0.015,0.2,0.2,19.63392271215388,11.10817447725948,P,47.33333333333334,1617,Plotter,YW2,P1,YW2-P1,S. Korea Surveillance,S-KOREA,4.3045e+19,128284586084.6942,,low,,458.5015,YES,NO,PWR,42.738391318929025
288.9,0.051,0.54,1.5,0.015,0.2,0.2,19.68718995439164,11.06978798223251,P,39.50555555555556,1620,Plotter,YW2,P1,YW2-P1,S. Korea Surveillance,S-KOREA,4.8662e+19,117432412291.7772,,low,,451.6065,YES,NO,PWR,45.676793928244905
