y true,y pred
6.48323,7.2073526
12.66875,15.759253
14.77347,10.719306
27.29168,19.545597
6.991319999999999,10.364527
10.58547,11.618471
-2.43325,5.610455
10.58547,10.830241
10.068,6.286517
8.52363,11.579053
3.96288,5.6968365
8.011519999999999,6.611528
10.58547,6.017308
14.24528,11.356606
13.19292,16.130705
26.175,27.527897
36.41808,38.43441
6.991319999999999,4.6916656
35.83763,30.535116
7.50075,4.3403745
13.19292,11.835695
15.83387,21.484499
24.51003,20.166382
30.67388,41.66511
45.88751999999999,49.194904
27.85203,27.288807
25.61867,19.721346
28.41372,26.088223
22.30883,27.510727
21.76188,21.014257
8.011519999999999,11.434315
11.62443,17.403522
40.51875,38.2308
33.52923,50.862003
-0.48933,4.5368757
10.58547,8.778976
32.95548,23.72768
48.91707,42.69451
2.46675,4.0954194
6.991319999999999,10.86471
28.41372,23.967117
54.45468,51.5448
71.71875,61.6565
20.12907,26.62409
19.04723,21.454021
33.52923,34.747955
37.583,36.59693
32.95548,23.90137
-2.91588,0.3041238
0.49067,2.742296
5.47107,5.9029083
25.61867,21.409256
28.97675,38.28644
1.47603,0.8776823
0.49067,2.6320186
10.068,11.990372
31.812,27.90272
0.98268,1.4372169
4.967000000000001,5.1992855
19.04723,15.145569
26.175,54.955482
117.287,76.5162
20.12907,31.986578
6.991319999999999,10.088285
14.24528,18.7736
17.97075,20.617975
12.66875,11.752458
94.84827,86.21125
194.07075,201.78671
87.19568,83.283745
39.34043,38.17188
10.068,8.941957
14.77347,18.781864
-1.46397,1.4506632
0.49067,1.839207
5.47107,2.033567
4.46427,5.9087524
7.50075,6.9013925
11.62443,9.385435
14.77347,12.167736
0.98268,1.7619902
2.96412,3.1621966
13.19292,7.729609
11.10428,10.516817
15.83387,13.336626
1.97072,1.5633389
4.967000000000001,3.8783538
4.967000000000001,5.829124
11.10428,7.585237
4.46427,7.915869
11.62443,17.370237
17.43452,11.694631
27.85203,22.01592
13.19292,11.288431
12.66875,12.727766
1.97072,6.597846
19.58748,11.837367
9.55187,7.0392814
12.66875,12.273678
3.46283,6.22937
3.96288,7.199946
-0.97732,-0.77678585
-2.43325,-0.117556766
-1.46397,0.8775524
6.991319999999999,5.1452703
6.48323,13.146517
-1.94928,-0.043673553
8.52363,3.0013785
2.96412,0.47634706
-1.46397,1.6322285
2.46675,4.3579025
0.49067,3.384646
5.97648,11.523302
16.36608,17.672928
12.14592,9.669151
13.71843,11.46141
11.10428,13.517026
9.03708,8.588705
95.552,102.316635
165.6140075,149.90239
161.290671875,160.59218
58.0,59.92043
88.0,81.429535
78.0,41.051067
50.77777777777778,35.26755
48.77777777777778,53.440228
95.77777777777776,83.24845
2.222222222222222,7.5307984
9.088888888888889,14.625483
12.68888888888889,18.47041
7.522222222222221,22.323437
15.24444444444445,23.753561
11.11111111111111,13.238149
10.0,16.82183
43.88888888888889,27.685867
75.77777777777777,68.70579
13.88888888888889,3.3610103
-17.22222222222222,3.0976295
23.66666666666667,14.763588
25.73888888888889,14.763588
22.27777777777778,20.266422
28.11111111111111,23.421545
42.61111111111111,29.912924
75.77777777777777,91.08001
102.7777777777778,87.07355
10.0,6.9686837
10.0,23.850416
14.87777777777778,16.040522
14.61111111111111,20.037977
20.28333333333333,24.238895
23.44444444444444,25.953913
22.22222222222222,34.62107
59.77777777777778,42.132202
45.77777777777778,50.590275
3.111111111111107,5.3560243
13.33333333333333,13.120929
-8.777777777777779,5.3560243
16.27777777777778,8.892664
20.61111111111111,13.120929
16.0,18.707624
30.11111111111111,22.559925
36.77777777777778,19.295269
19.44444444444444,22.840574
27.61111111111111,27.489801
0.0,12.098391
11.78,7.285819
-8.88888888888889,-2.8280027
-0.5555555555555556,-0.38164422
-10.55555555555556,2.0056744
8.627777777777776,15.590945
38.0,34.577496
4.0,10.51523
2.0,5.519452
13.0,7.919942
17.0,5.3364615
23.0,10.048193
-8.0,6.947848
-6.0,8.824155
3.0,6.018455
12.0,6.4088683
3.0,8.418119
13.0,8.075951
3.0,17.190239
32.0,15.375587
33.0,25.548126
5.0,11.405077
15.0,24.96075
32.0,42.13866
51.0,62.82177
5.0,15.509077
10.0,23.741299
14.0,30.208141
28.5,16.656311
19.7,23.550474
37.0,35.497383
45.6,38.803352
12.77777777777778,7.9810114
9.444444444444445,11.540618
7.4,6.349702
6.244444444444444,8.6085005
17.06666666666667,10.312922
16.42777777777778,11.601307
9.0,7.4652033
14.0,9.565475
-4.0,3.9291081
7.0,10.052565
-9.0,4.1389875
14.0,17.972584
36.0,29.530386
15.86666666666667,11.897244
11.38333333333333,9.425903
5.016666666666667,9.425903
15.33888888888889,15.052251
18.25,9.289906
8.149999999999999,9.289906
3.388888888888889,8.658872
15.55555555555556,8.658872
-5.055555555555554,12.748539
25.23888888888889,17.015945
25.30555555555556,17.015945
20.38333333333333,12.650128
22.05555555555556,21.995745
28.5,21.995745
32.61111111111111,30.376484
24.77777777777778,23.609692
44.66666666666667,29.524845
14.05555555555556,17.523342
46.8,47.60921
22.3543835189226,29.719467
8.033406870945797,23.21989
22.363896790265,34.18128
-8.602139785801,0.0012562752
6.691413492221599,6.0316343
3.093761490256398,10.619266
27.2073272353639,22.4328
31.5125575901299,30.332926
47.45605347562282,39.241
33.83945986632355,20.799397
33.79136656658182,30.760717
46.18359401773726,38.77041
29.4458965412717,31.377161
-10.6058257689987,-0.350352
1.628801386765502,5.552832
10.8552334729211,14.198001
31.96407530770547,24.054436
43.56445475953018,34.91236
54.2950735372622,38.35532
33.1056760059883,35.20071
38.8364351420041,25.99468
39.5426353310964,38.36315
9.8479058957059,25.635357
27.58200185556428,37.293434
19.7141461180325,16.003672
40.08164010977202,25.588818
44.46635709297988,33.550365
39.29517431846177,40.069748
34.5422817811828,33.17225
37.35714148266884,42.45466
38.56096296646619,36.92617
30.7298111057074,30.619991
15.7015977598817,24.76745
